imo,discharge_start_date,load_end_date,me_con_g,ae_con_g,ab_con_g,distance_nm
9230921,2023-09-30,2023-09-07,370522933.0774767,18757231.458333384,3061155.0555555588,4602.371987447432
9355513,2023-09-14,2023-08-01,427279835.84667027,84469712.16666666,19819085.444444455,5592.924675195907
9355513,2023-11-16,2023-10-22,445024160.672122,61597760.79166648,10287426.277777778,4718.16465721235
9493987,2023-07-17,2023-06-09,374729382.0469845,19438769.999999978,2091298.4444444438,4265.499675454018
9496329,2023-11-04,2023-10-14,182824419.6639914,17112749.87499999,7554382.555555564,2298.0019140657646
9538880,2023-07-27,2023-07-15,780180932.3628116,30272839.45833338,3503546.0555555527,3387.5027910387607
9675559,2023-09-20,2023-08-24,118674206.9799118,29558985.083333343,19165082.22222219,1941.0069957199762
9693331,2023-07-31,2023-07-02,130686031.05002266,30717611.166666716,21724679.666666713,2408.2639906876016
9700081,2023-08-25,2023-07-30,181349508.3627897,44970041.45833326,32606441.999999974,2338.583067288909
9711731,2023-09-30,2023-07-25,668009052.9519385,73214960.54166631,34027140.5,10321.991515553304
9736236,2023-07-16,2023-06-12,94949995.77098425,33937676.499999985,8051355.83333334,2476.507790436481
9748760,2023-11-29,2023-10-26,761571597.438313,64380142.125000104,1400359.888888889,9519.026850268398
9762900,2023-07-26,2023-06-01,250295923.84879568,18331290.791666634,3697506.6111111147,3439.392328463947
9804552,2023-08-22,2023-07-19,552307975.2485945,61105121.99999997,23377328.999999944,6134.72104651265
9810331,2023-07-15,2023-06-24,187936685.59690645,11572266.874999996,1235387.1666666646,8342.445590248119
9846108,2023-09-18,2023-08-19,168785685.2284533,50526899.041666605,39898202.888888896,2160.3274752467532
9851335,2023-08-31,2023-08-09,83508911.94013949,23817874.70833329,15092600.94444444,1597.309702175013
9852224,2023-08-03,2023-06-25,377258578.1824274,37072809.58333323,1770032.4444444454,7336.382728832417
9942201,2023-08-02,2023-06-27,510223486.9169702,39059869.87499999,1759021.1666666681,8646.51935877468
9942201,2023-12-05,2023-10-18,520913163.4106558,57964600.95833314,8544399.277777757,10588.195524853336
9149392,2023-07-08,2023-05-20,60745294.789731465,8905051.37499998,2480265.0555555546,1151.8088039921183
9296303,2023-07-04,2023-06-12,0.0,693069.0,469944.2222222222,0.5372628004770784
9397248,2023-10-25,2023-10-02,239836948.02697966,18498314.791666638,6760066.055555566,3012.2548196918174
9426257,2023-09-23,2023-07-27,589314013.7720207,68392264.41666655,23027089.333333313,9470.911028826635
9466348,2023-12-14,2023-10-24,728400466.6922406,90267709.45833313,3904785.7222222225,31367.588385279236
9467017,2023-07-05,2023-05-30,49561088.74393318,9230439.833333336,873407.111111111,1021.8394895562287
9502738,2023-10-28,2023-09-23,129592312.81426996,33456498.833333395,27671100.22222231,11759.801432264221
9513907,2023-08-20,2023-07-02,790554428.0241656,56023404.12499999,19990778.833333332,8260.815044466171
9520601,2023-11-28,2023-10-09,686551704.7377391,52804582.45833357,6887828.611111108,9846.451701177479
9520986,2023-10-19,2023-08-22,799674847.0648268,69817135.91666621,17619132.44444444,11433.748348704992
9544700,2023-08-18,2023-06-08,292270788.3200388,78867208.33333336,56677268.999999896,4396.654343324949
9558256,2023-10-12,2023-08-31,575300206.1918994,50165422.666666724,3610862.3333333307,9958.460405444112
9571612,2023-07-27,2023-06-08,202655447.2984459,22995637.16666675,2043086.444444443,4885.081776243002
9595890,2023-07-17,2023-06-24,36016774.39047185,11134945.79166667,7849546.944444443,549.6673571396561
9693496,2023-08-24,2023-08-02,113889389.15167052,25937925.54166672,15472900.388888909,2226.7149468674147
9738959,2023-12-12,2023-11-02,479777626.0400649,74990894.33333308,40390823.222222246,5892.2755922156875
9757527,2023-09-06,2023-08-09,121557464.01263253,21177312.000000004,8633986.444444442,2680.7341694128045
9764063,2023-07-09,2023-06-23,57048349.68382064,5372055.54166667,1980568.9444444438,656.2826757541045
9767534,2023-10-10,2023-08-31,754005379.5742102,76574501.79166645,12637235.222222218,10046.772502626662
9786011,2023-10-13,2023-09-20,193047519.0726634,43470526.66666656,25393447.77777779,2962.4215000733575
9826835,2023-09-09,2023-07-29,666005158.0533223,80240978.45833306,17102347.555555526,10056.053005732238
9834856,2023-11-05,2023-10-02,143236170.79006058,19670890.958333347,12340920.499999994,2071.899399653878
9899399,2023-09-15,2023-07-25,575437149.4388257,96648676.04166634,35979604.66666667,9034.569687080675
9926087,2023-08-08,2023-07-25,117053212.05341426,15050892.999999996,6498591.888888893,24565.31320908808
9186481,2023-08-26,2023-06-30,564388864.4239972,51358070.874999925,7750723.111111119,10798.949937031502
9300532,2023-09-06,2023-07-26,331651718.192981,35976147.458333395,21608360.944444504,3226.3577247068874
9300532,2023-10-26,2023-09-20,189099012.9470847,40057106.37499998,28412393.722222228,2173.7515486903235
9375915,2023-07-24,2023-04-02,25852961.631352015,28785470.4583333,29153657.000000007,373.14263909514784
9418987,2023-09-21,2023-06-05,1616922788.9753435,205283850.9583354,34743236.222222164,18119.666130267262
9508407,2023-07-20,2023-06-17,171296793.34205976,17501192.04166667,6776652.388888894,3648.6404817453085
9522910,2023-09-07,2023-07-26,418506119.67339045,36908343.33333331,19860875.222222224,4151.790212213547
9582465,2023-07-21,2023-07-06,208762640.47998136,28617648.041666638,14628207.222222226,2554.943820014214
9645566,2023-07-05,2023-05-19,59762851.48709857,3243161.458333333,736556.1666666666,612.1748488005164
9645566,2023-10-11,2023-07-21,889092717.4942576,96351450.54166627,44718108.05555561,10990.49452120327
9693290,2023-07-30,2023-06-20,323582465.9966618,29425216.166666694,47078.666666666664,6444.3020945618
9699969,2023-08-11,2023-07-11,90656185.96383609,59044612.79166647,26874503.833333377,2356.04699712437
9701059,2023-11-08,2023-09-29,685865326.7487854,48004512.291666634,7168870.7222222295,9796.092019870684
9717591,2023-07-14,2023-06-06,153241117.69116363,22069845.416666668,3401707.555555556,2437.7619698950866
9717591,2023-10-06,2023-08-11,798980206.3914807,103241210.04166655,42373091.22222225,12974.925728993676
9726504,2023-10-10,2023-08-15,738594735.9234725,105101292.29166639,40662998.88888894,10180.23265375936
