Day,Month,Year,"VLSFO Fuel Oil, IMO 2020 Grade, 0.5%",Marine Gas Oil,"Intermdiate Fuel Oil, 180cSt","Intermdiate Fuel Oil, 380cSt"
01/29/2019,January,2019,414.75,636.5,429,400.5
01/30/2019,January,2019,421.75,640.5,436,407.5
01/31/2019,January,2019,424.5,642.5,439,410
02/01/2019,February,2019,425,643.5,440,410
02/04/2019,February,2019,426.5,648.5,438.5,414.5
02/05/2019,February,2019,430.75,649.5,444,417.5
02/06/2019,February,2019,430.5,648,443.5,417.5
02/07/2019,February,2019,435,648,449.5,420.5
02/08/2019,February,2019,432,647,444,420
02/11/2019,February,2019,433.5,647,448,419
02/12/2019,February,2019,432.5,645.5,444.5,420.5
02/13/2019,February,2019,435.75,649,447.5,424
02/14/2019,February,2019,441,653.5,452.5,429.5
02/15/2019,February,2019,443.25,660.5,455,431.5
02/18/2019,February,2019,451.5,665.5,466,437
02/19/2019,February,2019,451.5,669,466,437
02/20/2019,February,2019,451.25,669,465,437.5
02/21/2019,February,2019,453,666.5,467,439
02/22/2019,February,2019,448,669.5,461.5,434.5
02/25/2019,February,2019,451,669.5,466,436
02/26/2019,February,2019,447.5,669.5,462,433
02/27/2019,February,2019,449.25,672.5,463.5,435
02/28/2019,February,2019,449.75,671,464,435.5
03/01/2019,March,2019,453.5,672.5,468.5,438.5
03/04/2019,March,2019,454.75,673.5,469,440.5
03/05/2019,March,2019,455.75,673.5,470.5,441
03/06/2019,March,2019,455.75,668.5,470.5,441
03/07/2019,March,2019,450.75,665.5,465.5,436
03/11/2019,March,2019,453,666.5,468,438
03/12/2019,March,2019,455.25,671,470,440.5
03/13/2019,March,2019,456,671,470.5,441.5
03/14/2019,March,2019,458.25,670.5,473,443.5
03/15/2019,March,2019,457,672,471.5,442.5
03/18/2019,March,2019,455.75,669.5,470,441.5
03/19/2019,March,2019,455.5,668.5,470.5,440.5
03/20/2019,March,2019,454.25,670,468.5,440
03/21/2019,March,2019,452.75,670.5,467,438.5
03/22/2019,March,2019,450.75,670.5,465.5,436
03/25/2019,March,2019,446.25,666,460.5,432
03/26/2019,March,2019,448.25,666,463,433.5
03/27/2019,March,2019,450.25,666,465,435.5
03/28/2019,March,2019,449.75,666.5,464.5,435
03/29/2019,March,2019,451.5,668.5,466,437
04/01/2019,April,2019,453.75,670.5,468,439.5
04/02/2019,April,2019,454.75,672.5,469,440.5
04/03/2019,April,2019,454.75,675,469.5,440
04/04/2019,April,2019,456.5,676,470.5,442.5
04/05/2019,April,2019,452.25,674,463.5,441
04/08/2019,April,2019,455.75,675,467,444.5
04/09/2019,April,2019,457.75,678.5,469,446.5
04/10/2019,April,2019,456,684,468,444
04/11/2019,April,2019,455,681,466,444
04/12/2019,April,2019,456,682.5,466.5,445.5
04/15/2019,April,2019,456.25,682.5,467,445.5
04/16/2019,April,2019,454.75,685.5,467,442.5
04/17/2019,April,2019,455,685,468,442
04/18/2019,April,2019,453.75,685,465.5,442
04/19/2019,April,2019,455.25,687.5,469,441.5
04/22/2019,April,2019,458,686.5,470,446
04/23/2019,April,2019,461.5,693,474,449
04/24/2019,April,2019,462.5,692.5,474.5,450.5
04/25/2019,April,2019,468.5,695.5,480,457
04/26/2019,April,2019,470.25,683.5,485,455.5
04/29/2019,April,2019,465,689,480.5,449.5
04/30/2019,April,2019,466,687,481,451
05/01/2019,May,2019,466.5,681,483,450
05/02/2019,May,2019,463.75,685.5,480.5,447
05/03/2019,May,2019,460.25,688,477.5,443
05/06/2019,May,2019,456,688,473.5,438.5
05/07/2019,May,2019,452.75,688,470,435.5
05/08/2019,May,2019,449.25,688.5,465.5,433
05/09/2019,May,2019,449,687.5,465.5,432.5
05/10/2019,May,2019,450.25,688.5,466,434.5
05/13/2019,May,2019,451,685.5,465.5,436.5
05/14/2019,May,2019,447.25,686.5,460,434.5
05/15/2019,May,2019,444.5,689,459,430
05/16/2019,May,2019,446,688.5,459.5,432.5
05/17/2019,May,2019,450,693.5,464.5,435.5
05/20/2019,May,2019,453.75,698,468.5,439
05/21/2019,May,2019,451.75,693.5,466.5,437
05/22/2019,May,2019,449.75,690.5,465.5,434
05/23/2019,May,2019,443.25,684,460.5,426
05/24/2019,May,2019,436.5,674.5,451.5,421.5
05/27/2019,May,2019,436.75,676,453.5,420
05/28/2019,May,2019,436.5,677.5,453.5,419.5
05/29/2019,May,2019,434.5,676,451,418
05/30/2019,May,2019,432.75,670.5,449.5,416
05/31/2019,May,2019,425.5,663.5,440.5,410.5
06/03/2019,June,2019,419,653,436,402
06/04/2019,June,2019,413.75,642.5,431.5,396
06/05/2019,June,2019,411.75,641,428,395.5
06/06/2019,June,2019,409.25,636.5,424,394.5
06/07/2019,June,2019,413.25,637,427.5,399
06/10/2019,June,2019,415.25,637,428.5,402
06/11/2019,June,2019,414.5,637,430,399
06/12/2019,June,2019,409,630,422.5,395.5
06/13/2019,June,2019,405.5,629,421,390
06/14/2019,June,2019,403,622.5,418.5,387.5
06/17/2019,June,2019,401,623.5,416,386
06/18/2019,June,2019,400.25,627.5,415,385.5
06/19/2019,June,2019,404.25,628,420.5,388
06/20/2019,June,2019,408,631,423.5,392.5
06/21/2019,June,2019,415.5,637.5,431,400
06/24/2019,June,2019,419.75,637.5,435.5,404
06/25/2019,June,2019,422.75,642,437.5,408
06/26/2019,June,2019,427,647,441.5,412.5
06/27/2019,June,2019,431.75,651.5,446.5,417
06/28/2019,June,2019,435,651.5,449,421
07/01/2019,July,2019,436.5,651.5,450.5,422.5
07/02/2019,July,2019,435.75,651.5,451.5,420
07/03/2019,July,2019,434.5,649,450,419
07/04/2019,July,2019,436.25,647.5,451,421.5
07/05/2019,July,2019,440,644.5,452.5,427.5
07/08/2019,July,2019,443.5,644.5,455,432
07/09/2019,July,2019,447.75,647,461.5,434
07/10/2019,July,2019,452.25,651,464.5,440
07/11/2019,July,2019,468.75,658.5,480,457.5
07/12/2019,July,2019,475.25,664.5,486.5,464
07/15/2019,July,2019,471.5,666.5,486.5,456.5
07/16/2019,July,2019,462.75,664,478,447.5
07/17/2019,July,2019,456.75,658.5,472.5,441
07/18/2019,July,2019,453.75,652,470.5,437
07/19/2019,July,2019,450.5,646,467,434
07/22/2019,July,2019,454.75,649,470.5,439
07/23/2019,July,2019,453.25,651,469,437.5
07/24/2019,July,2019,449.75,650,466,433.5
07/25/2019,July,2019,449.25,652,465.5,433
07/26/2019,July,2019,449,651,464.5,433.5
07/29/2019,July,2019,448.75,652,464.5,433
07/30/2019,July,2019,450,652,465,435
07/31/2019,July,2019,456,657,470.5,441.5
08/01/2019,August,2019,458.25,659,472.5,444
08/02/2019,August,2019,445.75,649,462,429.5
08/05/2019,August,2019,437.5,645.5,454,421
08/06/2019,August,2019,424.5,637.5,439.5,409.5
08/07/2019,August,2019,410,627,425.5,394.5
08/08/2019,August,2019,391,617.5,405.5,376.5
08/09/2019,August,2019,384.75,616,399.5,370
08/12/2019,August,2019,387.25,619,404,370.5
08/13/2019,August,2019,383,622,399,367
08/14/2019,August,2019,385.25,628.5,401,369.5
08/15/2019,August,2019,374.25,626,389.5,359
08/16/2019,August,2019,374.5,628,391,358
08/19/2019,August,2019,377.5,628,394,361
08/20/2019,August,2019,382,629.5,397,367
08/21/2019,August,2019,382.75,630,399,366.5
08/22/2019,August,2019,386,631.5,401.5,370.5
08/23/2019,August,2019,388,632,403.5,372.5
08/26/2019,August,2019,387.5,629,400,375
08/27/2019,August,2019,390.25,626,402.5,378
08/28/2019,August,2019,400,630.5,412.5,387.5
08/29/2019,August,2019,401.5,633.5,415,388
08/30/2019,August,2019,401.25,635.5,414,388.5
09/02/2019,September,2019,397,632,413,381
09/03/2019,September,2019,387.5,626,405.5,369.5
09/04/2019,September,2019,389.25,625,405,373.5
09/05/2019,September,2019,403.25,631.5,424.5,382
09/06/2019,September,2019,415.25,638.5,436,394.5
09/09/2019,September,2019,424.25,641,444.5,404
09/10/2019,September,2019,430,646,451.5,408.5
09/11/2019,September,2019,427.75,649.5,449,406.5
09/12/2019,September,2019,425.75,650,447,404.5
09/13/2019,September,2019,437.25,648,456,418.5
09/16/2019,September,2019,470.5,662,486,455
09/17/2019,September,2019,516.5,682,533,500
09/18/2019,September,2019,522.25,682.5,542.5,502
09/19/2019,September,2019,505.5,669.5,525.5,485.5
09/20/2019,September,2019,510.25,672.5,532,488.5
09/23/2019,September,2019,500,671,518,482
09/24/2019,September,2019,486.75,670.5,511.5,462
09/25/2019,September,2019,469.75,662,487.5,452
09/26/2019,September,2019,471,657,487,455
09/27/2019,September,2019,471.25,658.5,487,455.5
09/30/2019,September,2019,452.5,655.5,469.5,435.5
10/01/2019,October,2019,,652.5,452,420.5
10/02/2019,October,2019,,647,450.5,410.5
10/03/2019,October,2019,,641.5,444,406.5
10/04/2019,October,2019,,641,443,407
10/07/2019,October,2019,542,641,435,401
10/08/2019,October,2019,540,641,422,388.5
10/09/2019,October,2019,543,642.5,418,385.5
10/10/2019,October,2019,543.5,642.5,420.5,385
10/11/2019,October,2019,550.5,645.5,423,390.5
10/14/2019,October,2019,550.5,647,416,383
10/15/2019,October,2019,544,644,407,374
10/16/2019,October,2019,546.5,641.5,400,369.5
10/17/2019,October,2019,548,644.5,402,369.5
10/18/2019,October,2019,551.5,645,400.5,368
10/21/2019,October,2019,552.5,644.5,397.5,363
10/22/2019,October,2019,553,642.5,391.5,361
10/23/2019,October,2019,550.5,643.5,393.5,364
10/24/2019,October,2019,554.5,646.5,398,368.5
10/25/2019,October,2019,560.5,649.5,400,370.5
10/28/2019,October,2019,561,652,390.5,371.5
10/29/2019,October,2019,562.5,649.5,392,368.5
10/30/2019,October,2019,560.5,648,393,367
10/31/2019,October,2019,555.5,645.5,391.5,366
11/01/2019,November,2019,556.5,643.5,395,369
11/04/2019,November,2019,564.5,646.5,397,373.5
11/05/2019,November,2019,564,652,395.5,373.5
11/06/2019,November,2019,565,651,394,371
11/07/2019,November,2019,563.5,648.5,389,365
11/08/2019,November,2019,560.5,645.5,386,359.5
11/11/2019,November,2019,559.5,642.5,382.5,356.5
11/12/2019,November,2019,560.5,644,373,353
11/13/2019,November,2019,559,644,376.5,348.5
11/14/2019,November,2019,559.5,642,371,343.5
11/15/2019,November,2019,558.5,642,371,331.5
11/18/2019,November,2019,563,646,373.5,333.5
11/19/2019,November,2019,558.5,642,369.5,328.5
11/20/2019,November,2019,554,638,362.5,324.5
11/21/2019,November,2019,554.5,641.5,366,326.5
11/22/2019,November,2019,560.5,645,365.5,328.5
11/25/2019,November,2019,561.5,646.5,367.5,331.5
11/26/2019,November,2019,564,651,367,330
